               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.031465,           0.0069267,           0.0035888,                   1,             0.92221,             0.94954,             0.59837,             0.03624,           0.0040932,           0.0092682,             0.00307,             0.00307,             0.00307
                  37,            0.031775,           0.0070844,           0.0031304,                   1,             0.91176,             0.95386,             0.53802,            0.037678,           0.0040584,           0.0098312,            0.002872,            0.002872,            0.002872
                  38,            0.028381,           0.0067658,           0.0016409,             0.96946,             0.91258,             0.94721,             0.58264,            0.036455,           0.0041409,           0.0083649,            0.002674,            0.002674,            0.002674
                  39,            0.027755,            0.006546,           0.0022178,             0.99272,             0.91455,              0.9517,             0.57847,            0.038201,           0.0041661,           0.0080956,            0.002476,            0.002476,            0.002476
                  40,            0.029843,           0.0069931,           0.0029462,             0.89298,             0.93333,             0.93542,             0.59349,            0.038597,           0.0041013,           0.0079895,            0.002278,            0.002278,            0.002278
                  41,            0.028578,           0.0060876,           0.0026127,              0.8299,             0.93333,             0.89507,             0.55947,            0.037149,           0.0042224,           0.0081314,             0.00208,             0.00208,             0.00208
                  42,            0.027551,           0.0069832,           0.0025424,             0.88901,             0.93333,             0.91894,              0.5613,             0.03807,           0.0041461,           0.0075737,            0.001882,            0.001882,            0.001882
                  43,            0.029864,           0.0057602,           0.0040068,             0.97457,             0.93333,             0.95406,              0.6038,            0.033787,           0.0041208,            0.007785,            0.001684,            0.001684,            0.001684
                  44,            0.026618,           0.0068246,           0.0026981,             0.98069,             0.93333,             0.96003,             0.60555,             0.03651,           0.0041475,           0.0073936,            0.001486,            0.001486,            0.001486
                  45,            0.028857,           0.0061224,           0.0020309,             0.97267,             0.93333,              0.9666,             0.60377,            0.034028,           0.0041618,           0.0070908,            0.001288,            0.001288,            0.001288
                  46,            0.026443,           0.0070953,           0.0018195,             0.96972,             0.93333,             0.96731,             0.59705,             0.03224,           0.0040627,           0.0071693,             0.00109,             0.00109,             0.00109
                  47,            0.026251,           0.0064459,           0.0023024,             0.96858,             0.93333,             0.96981,             0.63226,             0.03305,           0.0040007,           0.0074783,            0.000892,            0.000892,            0.000892
                  48,            0.026022,           0.0064097,           0.0012589,             0.96206,             0.93333,             0.97017,             0.61415,            0.034407,           0.0039639,           0.0075867,            0.000694,            0.000694,            0.000694
                  49,            0.025275,            0.006331,           0.0015381,             0.98421,             0.93333,             0.96815,             0.61829,            0.034115,           0.0039787,           0.0074677,            0.000496,            0.000496,            0.000496
